SWL,ALW,GCB,SCB,GGBL,MLC,PBC,UNIL,HFC,CMLT,FML
264.0,1412.5,547.0,697.5,49.5,52.0,515.0,400.0,103.0,413.3333333333333,162.0
264.0,1412.5,547.0,738.0,52.5,52.0,515.0,396.0,103.0,413.3333333333333,161.5
264.0,1412.5,547.0,798.5,54.0,52.0,515.0,410.0,103.0,413.3333333333333,160.0
264.0,1412.5,547.0,817.0,53.0,52.0,515.0,420.0,103.0,413.3333333333333,160.0
264.0,1412.5,547.0,834.5,51.0,52.0,515.0,423.0,103.0,413.3333333333333,160.0
264.0,1412.5,547.0,870.0,49.0,52.0,515.0,420.0,103.0,413.3333333333333,168.0
264.0,1412.5,547.0,938.5,46.5,52.0,515.0,412.5,103.0,413.3333333333333,168.0
264.0,1412.5,547.0,989.0,41.0,52.0,515.0,407.5,103.0,413.3333333333333,168.0
264.0,1412.5,547.0,989.0,43.0,52.0,515.0,408.0,103.0,413.3333333333333,167.5
264.0,1412.5,547.0,997.0,46.0,52.0,515.0,419.0,103.0,413.3333333333333,170.0
264.0,1412.5,547.0,1018.0,49.0,52.0,515.0,426.0,103.0,413.3333333333333,172.0
264.0,1412.5,547.0,1083.0,49.0,52.0,515.0,432.5,103.0,413.3333333333333,172.0
264.0,1412.5,547.0,1083.0,49.0,52.0,515.0,436.0,103.0,413.3333333333333,173.0
264.0,1412.5,547.0,1156.0,48.0,52.0,515.0,444.0,103.0,413.3333333333333,173.0
264.0,1412.5,547.0,1156.0,48.0,52.0,515.0,446.0,103.0,413.3333333333333,173.0
264.0,1412.5,547.0,1408.0,48.0,52.0,515.0,455.0,103.0,413.3333333333333,173.0
264.0,1412.5,547.0,1454.0,48.0,52.0,515.0,451.5,103.0,413.3333333333333,173.0
264.0,1412.5,547.0,1500.0,48.0,52.0,515.0,447.0,103.0,413.3333333333333,173.0
264.0,1412.5,547.0,1625.0,47.0,52.0,515.0,455.0,103.0,413.3333333333333,173.0
264.0,1412.5,547.0,1838.0,48.0,52.0,515.0,455.0,103.0,413.3333333333333,173.0
264.0,1412.5,547.0,1910.0,48.0,52.0,515.0,455.0,103.0,413.3333333333333,173.0
264.0,1412.5,547.0,1910.0,48.0,52.0,515.0,455.0,103.0,413.3333333333333,172.0
264.0,1412.5,547.0,1963.5,46.0,52.0,515.0,455.0,103.0,413.3333333333333,171.0
264.0,1412.5,547.0,2017.0,46.0,52.0,515.0,455.0,103.0,413.3333333333333,171.0
264.0,1412.5,547.0,2017.0,46.0,52.0,515.0,455.0,103.0,413.3333333333333,171.0
264.0,1412.5,547.0,2224.0,47.0,52.0,515.0,455.0,103.0,413.3333333333333,172.0
264.0,1412.5,547.0,2267.5,48.0,52.0,515.0,455.0,103.0,413.3333333333333,173.5
264.0,1412.5,547.0,2311.0,48.0,52.0,515.0,456.5,103.0,413.3333333333333,174.5
264.0,1412.5,547.0,2315.5,48.0,52.0,515.0,460.0,103.0,413.3333333333333,175.0
264.0,1412.5,547.0,2320.0,48.0,52.0,515.0,460.5,103.0,413.3333333333333,175.0
264.0,1412.5,547.0,2320.0,48.0,52.0,515.0,460.0,103.0,413.3333333333333,177.5
264.0,1412.5,547.0,2550.0,54.5,52.0,515.0,518.5,103.0,413.3333333333333,186.5
264.0,1412.5,547.0,2751.5,60.5,52.0,515.0,572.0,103.0,413.3333333333333,201.0
264.0,1412.5,547.0,3104.5,66.5,52.0,515.0,630.5,103.0,413.3333333333333,222.0
264.0,1412.5,547.0,3504.5,73.0,52.0,515.0,695.0,103.0,413.3333333333333,251.0
264.0,1412.5,547.0,3877.5,83.0,52.0,515.0,782.0,103.0,413.3333333333333,277.0
264.0,1412.5,547.0,4171.0,89.0,52.0,515.0,841.0,103.0,413.3333333333333,298.0
264.0,1412.5,547.0,4380.0,93.0,52.0,515.0,905.0,103.0,413.3333333333333,321.0
264.0,1412.5,547.0,4971.5,100.5,52.0,515.0,997.5,103.0,413.3333333333333,353.5
264.0,1412.5,547.0,5348.0,109.5,52.0,515.0,1020.5,103.0,413.3333333333333,380.0
264.0,1412.5,547.0,5510.0,117.0,52.0,515.0,1040.0,103.0,413.3333333333333,380.0
264.0,1412.5,547.0,5605.0,120.0,52.0,515.0,1040.0,103.0,413.3333333333333,379.0
264.0,1412.5,547.0,5901.0,132.0,52.0,515.0,1040.0,103.0,413.3333333333333,373.0
264.0,1412.5,547.0,5901.0,152.66666666666666,50.666666666666664,515.0,1005.3333333333334,103.0,413.3333333333333,353.6666666666667
264.0,1412.5,547.0,5901.0,181.33333333333334,49.0,515.0,1003.3333333333334,103.0,413.3333333333333,300.0
264.0,1412.5,547.0,5901.0,180.0,48.0,515.0,1020.0,103.0,413.3333333333333,300.0
