DATE,Texc
06/02/2013,0.0064725
07/02/2013,0
08/02/2013,0.0064309
11/02/2013,-0.0064309
12/02/2013,0
13/02/2013,0
14/02/2013,0.0064309
15/02/2013,0
19/02/2013,0
20/02/2013,0.0063899
22/02/2013,0
27/02/2013,0
28/02/2013,0
01/03/2013,0.0063092
05/03/2013,0
07/03/2013,-0.0063092
08/03/2013,0
11/03/2013,0
13/03/2013,0.0063092
14/03/2013,-0.0126584
15/03/2013,0
18/03/2013,0.0063492
19/03/2013,0.0063092
21/03/2013,-0.0063092
22/03/2013,0
25/03/2013,0.0063092
26/03/2013,0
27/03/2013,0.0062696
28/03/2013,0
02/04/2013,0.0062696
03/04/2013,0
04/04/2013,-0.0062696
05/04/2013,0
08/04/2013,0
10/04/2013,0
12/04/2013,-0.0063092
15/04/2013,0.0125788
16/04/2013,0
17/04/2013,0.0062306
18/04/2013,-0.0062306
19/04/2013,0
22/04/2013,0.0062306
23/04/2013,0
24/04/2013,0
25/04/2013,0
26/04/2013,0
29/04/2013,0
30/04/2013,0
02/05/2013,0.006192
03/05/2013,0
06/05/2013,0
07/05/2013,0.0061539
08/05/2013,-0.0061539
09/05/2013,0.0303974
10/05/2013,-0.0120483
13/05/2013,0.0060423
14/05/2013,0
15/05/2013,0
16/05/2013,0
17/05/2013,0
20/05/2013,-0.0060423
21/05/2013,0
22/05/2013,0.0060423
23/05/2013,0
24/05/2013,-0.0060423
04/06/2013,-0.0061162
05/06/2013,0
06/06/2013,-0.0061539
07/06/2013,0
10/06/2013,0
11/06/2013,0
12/06/2013,0
13/06/2013,0
14/06/2013,0
17/06/2013,0
18/06/2013,-0.006192
19/06/2013,0.0123458
20/06/2013,0
21/06/2013,0.0061162
24/06/2013,0
25/06/2013,0.006079
26/06/2013,0.0060423
28/06/2013,0
02/07/2013,0
03/07/2013,0
05/07/2013,0.0119762
08/07/2013,0
09/07/2013,0.0059348
10/07/2013,-0.011905
12/07/2013,0.0060423
15/07/2013,0
16/07/2013,-0.0060423
17/07/2013,0.0060423
18/07/2013,0
19/07/2013,0
22/07/2013,0
23/07/2013,-0.0060423
24/07/2013,0.0060423
26/07/2013,-0.0060423
29/07/2013,0
30/07/2013,0
31/07/2013,0
01/08/2013,0.0060423
02/08/2013,-0.0060423
05/08/2013,0.0060423
06/08/2013,-0.0060423
07/08/2013,0
12/08/2013,0.0060423
15/08/2013,0
16/08/2013,-0.0060423
19/08/2013,-0.006079
20/08/2013,-0.0061162
21/08/2013,0.0061162
22/08/2013,0
23/08/2013,0
26/08/2013,0.006079
27/08/2013,-0.006079
28/08/2013,0
29/08/2013,0.006079
30/08/2013,0
03/09/2013,0.0060423
04/09/2013,-0.0060423
05/09/2013,0.0120483
06/09/2013,-0.006006
11/09/2013,0
12/09/2013,-0.006079
13/09/2013,0
16/09/2013,0.006079
17/09/2013,-0.006079
18/09/2013,-0.0061162
19/09/2013,0
20/09/2013,0.0061162
24/09/2013,0.006079
25/09/2013,-0.006079
26/09/2013,0.006079
27/09/2013,0
30/09/2013,0
02/10/2013,-0.006079
03/10/2013,0
07/10/2013,0
09/10/2013,0
10/10/2013,0
14/10/2013,0
18/10/2013,-0.006079
23/10/2013,0
24/10/2013,0
25/10/2013,0
28/10/2013,0
29/10/2013,0
30/10/2013,0
31/10/2013,0.0121953
06/11/2013,0
07/11/2013,0.006006
08/11/2013,0
12/11/2013,0
13/11/2013,-0.006006
14/11/2013,0
15/11/2013,0.006006
19/11/2013,0
20/11/2013,0.0059702
21/11/2013,0
22/11/2013,-0.0059702
25/11/2013,0
26/11/2013,0
27/11/2013,0
29/11/2013,0
02/12/2013,0.0059702
03/12/2013,-0.0059702
04/12/2013,0
09/12/2013,-0.006006
10/12/2013,0.006006
11/12/2013,0
16/12/2013,0
17/12/2013,-0.006006
18/12/2013,0
19/12/2013,0
20/12/2013,-0.0060423
23/12/2013,0
24/12/2013,0
27/12/2013,0
30/12/2013,-0.006079
31/12/2013,0.006079
03/01/2014,0.0060423
06/01/2014,-0.0060423
07/01/2014,0
15/01/2014,0
16/01/2014,-0.0060423
21/01/2014,-0.0060423
22/01/2014,-0.006079
23/01/2014,-0.0122701
24/01/2014,0
28/01/2014,0
29/01/2014,-0.006192
30/01/2014,0
03/02/2014,-0.0062306
04/02/2014,0.0062306
05/02/2014,-0.0062306
07/02/2014,0
10/02/2014,-0.0062696
11/02/2014,0
12/02/2014,0.0062696
14/02/2014,-0.0062696
18/02/2014,-0.0063092
19/02/2014,0
20/02/2014,0
21/02/2014,0
25/02/2014,0
26/02/2014,0.0063092
27/02/2014,-0.0063092
03/03/2014,0
04/03/2014,0
07/03/2014,0
10/03/2014,0
11/03/2014,0
13/03/2014,0.0063492
14/03/2014,0
17/03/2014,-0.0063492
18/03/2014,0
21/03/2014,0
24/03/2014,-0.0063492
25/03/2014,0.0063492
26/03/2014,0
27/03/2014,0.0063092
28/03/2014,-0.0063092
01/04/2014,-0.0063092
02/04/2014,0
03/04/2014,0.0063092
04/04/2014,0
07/04/2014,0
08/04/2014,0
10/04/2014,-0.0063092
11/04/2014,0
14/04/2014,0.0063092
15/04/2014,-0.0063092
16/04/2014,0.0063092
17/04/2014,0
22/04/2014,0
23/04/2014,0.0062696
24/04/2014,-0.0062696
25/04/2014,0
28/04/2014,0.0062696
29/04/2014,0.0062306
30/04/2014,-0.0062306
02/05/2014,0
05/05/2014,0
06/05/2014,0
07/05/2014,0
08/05/2014,0.0062306
09/05/2014,0.006192
12/05/2014,0
13/05/2014,0
14/05/2014,0
15/05/2014,0
16/05/2014,0.0061539
19/05/2014,-0.0061539
20/05/2014,0
21/05/2014,0.0061539
22/05/2014,0
23/05/2014,0
27/05/2014,0
28/05/2014,0.0061162
29/05/2014,-0.0061162
30/05/2014,0
03/06/2014,-0.0061162
04/06/2014,0
05/06/2014,0
06/06/2014,0.0061162
09/06/2014,0
10/06/2014,0.006079
11/06/2014,0.0060423
12/06/2014,-0.0060423
13/06/2014,0.0120483
16/06/2014,-0.006006
17/06/2014,0
18/06/2014,0
19/06/2014,0
20/06/2014,0.006006
23/06/2014,0.0059702
24/06/2014,0
25/06/2014,0
26/06/2014,0.0059348
27/06/2014,-0.0059348
30/06/2014,0
02/07/2014,0.0059348
03/07/2014,0
07/07/2014,0
08/07/2014,0.0058997
09/07/2014,-0.0058997
10/07/2014,0.0058997
14/07/2014,0
15/07/2014,0
16/07/2014,0.0058309
17/07/2014,0
18/07/2014,0
21/07/2014,0.0057971
22/07/2014,0
23/07/2014,0
24/07/2014,0
31/07/2014,-0.0057971
01/08/2014,-0.0058309
04/08/2014,0
05/08/2014,0
06/08/2014,0
07/08/2014,0.0058309
08/08/2014,0
11/08/2014,-0.0058309
12/08/2014,0.0058309
14/08/2014,0
18/08/2014,0
19/08/2014,0
20/08/2014,0.0115608
21/08/2014,-0.0115608
22/08/2014,0.0057971
25/08/2014,0.0057637
26/08/2014,0
27/08/2014,-0.0057637
28/08/2014,0.0057637
29/08/2014,0
02/09/2014,0
03/09/2014,0
04/09/2014,0.0057307
05/09/2014,0.005698
09/09/2014,0
10/09/2014,0
11/09/2014,0
12/09/2014,-0.0056657
15/09/2014,0.0056657
16/09/2014,0
17/09/2014,0.0056338
18/09/2014,-0.0056338
19/09/2014,0.0056338
23/09/2014,0
24/09/2014,0.0056022
25/09/2014,0
26/09/2014,0.005571
29/09/2014,0
30/09/2014,0
01/10/2014,0
02/10/2014,0
03/10/2014,0.0110499
07/10/2014,0
08/10/2014,-0.005571
09/10/2014,0.005571
10/10/2014,0.0055402
14/10/2014,0
16/10/2014,-0.0111112
17/10/2014,0.005571
21/10/2014,0.005571
22/10/2014,0.0055402
27/10/2014,-0.0055402
28/10/2014,0
29/10/2014,0.0055402
30/10/2014,0
31/10/2014,0.0109892
03/11/2014,0
04/11/2014,-0.0054795
05/11/2014,0.0054795
06/11/2014,0.0054496
07/11/2014,-0.0054496
10/11/2014,0.0054496
12/11/2014,0
13/11/2014,-0.0054496
14/11/2014,0
17/11/2014,0.0054496
19/11/2014,0
20/11/2014,0
21/11/2014,0.0054496
24/11/2014,0
25/11/2014,0
26/11/2014,0
28/11/2014,0
01/12/2014,0
02/12/2014,0.0054201
03/12/2014,0.0053908
08/12/2014,0
09/12/2014,0
11/12/2014,0
15/12/2014,0
16/12/2014,-0.0054201
17/12/2014,0.0054201
18/12/2014,0.0053908
19/12/2014,0
22/12/2014,0.0053619
23/12/2014,0
24/12/2014,-0.0053619
29/12/2014,0
30/12/2014,0
31/12/2014,0.0053619
05/01/2015,0.0053334
06/01/2015,0
07/01/2015,0.0053051
09/01/2015,-0.005277
12/01/2015,0
13/01/2015,0.005277
15/01/2015,0.0052494
16/01/2015,0.0052219
20/01/2015,0
21/01/2015,-0.0052219
22/01/2015,0.0207261
23/01/2015,0
27/01/2015,-0.0155042
28/01/2015,0.0103629
29/01/2015,-0.005168
30/01/2015,0.005168
02/02/2015,-0.005168
05/02/2015,-0.0104167
06/02/2015,0.0104167
09/02/2015,0
10/02/2015,0
11/02/2015,0
12/02/2015,-0.0051948
13/02/2015,0
18/02/2015,0.0051948
20/02/2015,0
24/02/2015,0
25/02/2015,-0.005168
27/02/2015,0
02/03/2015,0
03/03/2015,0
04/03/2015,0.0051151
05/03/2015,0.005089
09/03/2015,-0.0050633
10/03/2015,0.0101011
11/03/2015,0.0100001
13/03/2015,-0.0050378
16/03/2015,-0.0101523
17/03/2015,0
18/03/2015,-0.0051151
19/03/2015,0.0102041
23/03/2015,-0.0153455
24/03/2015,0
25/03/2015,0
26/03/2015,0.0051414
27/03/2015,-0.0051414
30/03/2015,0.0051414
31/03/2015,0.0102041
01/04/2015,-0.005089
02/04/2015,-0.0102565
07/04/2015,0.0102565
08/04/2015,0
10/04/2015,0.0101523
13/04/2015,0
14/04/2015,-0.0050633
15/04/2015,0
16/04/2015,-0.005089
17/04/2015,-0.0051151
20/04/2015,0.0051151
21/04/2015,0
22/04/2015,0
23/04/2015,-0.0051151
24/04/2015,-0.0051414
27/04/2015,0.0051414
28/04/2015,-0.0103094
29/04/2015,-0.0104167
30/04/2015,0
04/05/2015,0.0052219
05/05/2015,0
06/05/2015,-0.0104713
07/05/2015,0.0104713
08/05/2015,0.0051948
11/05/2015,0
12/05/2015,0
13/05/2015,-0.0104167
14/05/2015,0
15/05/2015,0
18/05/2015,0.0052219
19/05/2015,0.0103629
20/05/2015,0.0051414
21/05/2015,0
22/05/2015,0.0051151
26/05/2015,0.005089
27/05/2015,0
28/05/2015,0
29/05/2015,-0.005089
03/06/2015,-0.0051414
04/06/2015,-0.005168
05/06/2015,0.0103094
08/06/2015,-0.0103094
09/06/2015,0
10/06/2015,0
11/06/2015,0.005168
12/06/2015,0
15/06/2015,0
16/06/2015,0
17/06/2015,-0.005168
18/06/2015,0
19/06/2015,0
22/06/2015,0
23/06/2015,0.0103094
24/06/2015,-0.0051414
25/06/2015,0
26/06/2015,0.0051414
29/06/2015,-0.0051414
30/06/2015,0.0102565
02/07/2015,0
03/07/2015,0
06/07/2015,0
07/07/2015,0.005089
08/07/2015,0
09/07/2015,0
10/07/2015,-0.0102041
13/07/2015,0.0102041
14/07/2015,-0.005089
15/07/2015,0.005089
16/07/2015,0.0050633
21/07/2015,-0.0050633
22/07/2015,0
23/07/2015,0
24/07/2015,0
27/07/2015,-0.005089
28/07/2015,0
29/07/2015,0.005089
30/07/2015,0.0050633
31/07/2015,-0.0050633
04/08/2015,0.0101011
05/08/2015,-0.0050378
06/08/2015,-0.0050633
07/08/2015,-0.005089
10/08/2015,0
11/08/2015,0
12/08/2015,-0.0051151
14/08/2015,0.0051151
17/08/2015,0
18/08/2015,0.005089
19/08/2015,-0.0102041
20/08/2015,-0.0051414
21/08/2015,-0.005168
24/08/2015,-0.0156661
25/08/2015,0.0156661
26/08/2015,0.0154245
27/08/2015,0
28/08/2015,0
31/08/2015,-0.0051151
01/09/2015,-0.0051414
02/09/2015,0.0051414
03/09/2015,0.0102041
04/09/2015,-0.005089
08/09/2015,0
09/09/2015,0
10/09/2015,-0.0051151
11/09/2015,-0.0051414
15/09/2015,0.0051151
16/09/2015,-0.0051151
17/09/2015,-0.0051414
22/09/2015,0
23/09/2015,0
28/09/2015,-0.005089
29/09/2015,0
30/09/2015,0.005089
01/10/2015,0
02/10/2015,-0.005089
05/10/2015,0.005089
