DATE,Tun
05/01/2012,-0.0015392
06/01/2012,-0.0022469
10/01/2012,0.0035934
11/01/2012,-0.0026731
12/01/2012,0.0004206
13/01/2012,-0.0011396
17/01/2012,-0.0040455
18/01/2012,-0.0059137
19/01/2012,-0.0014238
20/01/2012,0.0032558
24/01/2012,0.0002651
25/01/2012,0.0022869
26/01/2012,-0.0009642
27/01/2012,0.0013905
30/01/2012,-0.0016088
31/01/2012,-0.0021896
02/02/2012,0.0027409
03/02/2012,0.000555
06/02/2012,0.0000467
08/02/2012,-0.0009871
09/02/2012,-0.0006227
10/02/2012,-0.0028095
13/02/2012,-0.0057001
14/02/2012,-0.0021687
15/02/2012,0.00249
16/02/2012,0.0059223
17/02/2012,0.0000668
21/02/2012,0.0009184
22/02/2012,0.0024099
23/02/2012,0.0045671
24/02/2012,0.0018673
28/02/2012,-0.0001326
29/02/2012,0.0071449
01/03/2012,0.0035162
02/03/2012,-0.0065594
05/03/2012,-0.0022287
07/03/2012,0.0023642
08/03/2012,0.0054159
09/03/2012,0.0018997
13/03/2012,-0.0047007
14/03/2012,0.0007954
15/03/2012,-0.0011396
16/03/2012,0.0034952
19/03/2012,-0.0009279
21/03/2012,0.0043373
22/03/2012,0.0010891
26/03/2012,0.0050831
27/03/2012,-0.0039663
28/03/2012,0.0024214
29/03/2012,0.0025549
30/03/2012,-0.0011225
02/04/2012,0.0064793
03/04/2012,0.006897
04/04/2012,0.0077934
05/04/2012,0.0120401
10/04/2012,-0.0067186
11/04/2012,0.0000935
12/04/2012,0.0110865
13/04/2012,0.0013046
16/04/2012,-0.0014763
17/04/2012,-0.0027361
18/04/2012,0.0040302
19/04/2012,0.0010424
20/04/2012,0.0089922
23/04/2012,-0.0038061
24/04/2012,-0.0041666
25/04/2012,0.0019293
26/04/2012,0.0022459
27/04/2012,-0.0024233
30/04/2012,0.0011606
02/05/2012,-0.0010757
03/05/2012,-0.0015574
04/05/2012,-0.0017881
07/05/2012,0.0000181
08/05/2012,0.0037498
09/05/2012,0.00424
10/05/2012,0.0060062
11/05/2012,-0.0027142
14/05/2012,0.0012035
15/05/2012,0.0021105
16/05/2012,-0.000473
17/05/2012,-0.0035734
18/05/2012,-0.0007153
21/05/2012,-0.0017462
22/05/2012,0.00212
23/05/2012,0.0005703
24/05/2012,-0.0060911
29/05/2012,-0.0006132
30/05/2012,-0.0028944
31/05/2012,-0.0013876
05/06/2012,0.0038252
06/06/2012,-0.0018892
07/06/2012,0.0037832
08/06/2012,0.0012922
11/06/2012,-0.0053921
12/06/2012,-0.0108414
13/06/2012,0.0047178
15/06/2012,0.0010509
18/06/2012,-0.0018559
19/06/2012,0.0036764
20/06/2012,0.000145
21/06/2012,-0.0060635
22/06/2012,0.0005817
25/06/2012,-0.0017929
26/06/2012,-0.0015392
27/06/2012,-0.0060959
28/06/2012,0.0001011
29/06/2012,0.0021772
03/07/2012,0.006978
05/07/2012,-0.000968
06/07/2012,-0.0002069
09/07/2012,-0.0021915
10/07/2012,0.0049744
12/07/2012,-0.0019236
13/07/2012,0.0042067
16/07/2012,0.0049934
17/07/2012,0.0000648
18/07/2012,0.0066023
19/07/2012,-0.0005941
20/07/2012,0.0053768
24/07/2012,-0.0017691
26/07/2012,0.0024624
27/07/2012,0.0044565
30/07/2012,-0.0007792
31/07/2012,-0.0043783
01/08/2012,0.0027027
02/08/2012,-0.000988
03/08/2012,0.0012894
07/08/2012,-0.0029144
08/08/2012,0.0009413
09/08/2012,0.0053549
14/08/2012,0.0008755
16/08/2012,-0.0010128
17/08/2012,-0.0003147
21/08/2012,0.0003538
22/08/2012,0.002594
23/08/2012,-0.0002432
24/08/2012,-0.0014868
27/08/2012,-0.00107
28/08/2012,-0.0001535
29/08/2012,-0.0015631
30/08/2012,0.0014734
31/08/2012,0.0014477
04/09/2012,-0.001544
05/09/2012,-0.001091
06/09/2012,0.0001345
07/09/2012,-0.0011921
11/09/2012,-0.0054426
12/09/2012,-0.001277
13/09/2012,-0.0014858
14/09/2012,-0.0025625
17/09/2012,-0.0089779
18/09/2012,-0.0065527
19/09/2012,-0.0160313
24/09/2012,-0.0015402
25/09/2012,-0.0008593
26/09/2012,-0.0061989
27/09/2012,0.0018444
28/09/2012,-0.003212
01/10/2012,-0.006566
02/10/2012,-0.0073347
03/10/2012,-0.0053854
04/10/2012,-0.003561
05/10/2012,0.004652
09/10/2012,-0.0021353
10/10/2012,-0.0031481
11/10/2012,-0.0106144
12/10/2012,0.0033598
16/10/2012,0.0012779
17/10/2012,-0.0007515
18/10/2012,0.0008717
19/10/2012,-0.0036764
22/10/2012,0.0008888
23/10/2012,0.0082731
24/10/2012,0.0038319
25/10/2012,0.0042572
29/10/2012,0.0037956
30/10/2012,-0.0059862
01/11/2012,0.0062408
05/11/2012,-0.0001593
06/11/2012,0.001112
07/11/2012,0.0007248
08/11/2012,0.0004654
09/11/2012,-0.0008526
14/11/2012,-0.0024767
20/11/2012,-0.0049105
21/11/2012,0.0033751
23/11/2012,-0.0112228
26/11/2012,-0.0069971
27/11/2012,-0.0119982
28/11/2012,0.0028648
30/11/2012,-0.0010796
03/12/2012,0.0041647
04/12/2012,-0.0047646
05/12/2012,-0.0103636
06/12/2012,-0.0007811
10/12/2012,-0.0044231
11/12/2012,-0.001976
13/12/2012,-0.0029917
14/12/2012,-0.0009317
17/12/2012,-0.002656
18/12/2012,-0.001214
19/12/2012,0.0031509
20/12/2012,-0.0021696
21/12/2012,0.000268
27/12/2012,-0.0041571
28/12/2012,0.0044355
31/12/2012,0.0039091
03/01/2013,0.0043373
04/01/2013,0.002635
07/01/2013,-0.0003414
09/01/2013,0.0020733
10/01/2013,0.0061159
11/01/2013,-0.0001564
15/01/2013,0.004035
16/01/2013,0.0078402
17/01/2013,0.0013866
18/01/2013,0.0022631
22/01/2013,0.0000553
23/01/2013,0.0022583
25/01/2013,-0.0040178
29/01/2013,-0.0000343
30/01/2013,-0.0003538
31/01/2013,0.0031633
04/02/2013,-0.0042706
05/02/2013,-0.0019045
06/02/2013,-0.0375719
07/02/2013,0.0029325
08/02/2013,0.0070133
11/02/2013,-0.0007906
12/02/2013,0.0063801
13/02/2013,0.0017872
14/02/2013,-0.001585
15/02/2013,0.0023441
19/02/2013,-0.0045443
20/02/2013,-0.0021267
22/02/2013,-0.0032272
27/02/2013,0.0032673
28/02/2013,0.00278
01/03/2013,0.0014658
05/03/2013,0.0008936
07/03/2013,0.0053444
08/03/2013,0.0095472
11/03/2013,-0.0024071
13/03/2013,0.0016394
14/03/2013,0.0049696
15/03/2013,0.0000677
18/03/2013,0.000782
19/03/2013,0.0007868
21/03/2013,0.0063505
22/03/2013,0.0017862
25/03/2013,-0.0001497
26/03/2013,-0.0020504
27/03/2013,0.0007839
28/03/2013,-0.0029364
02/04/2013,0.0035515
03/04/2013,-0.0027704
04/04/2013,-0.0008049
05/04/2013,-0.0014153
08/04/2013,-0.0006647
10/04/2013,-0.0043497
12/04/2013,-0.0025415
15/04/2013,-0.002841
16/04/2013,-0.0083313
