DATE,Msem
05/02/2014,-0.0016909
07/02/2014,0.0057507
10/02/2014,-0.0002513
11/02/2014,-0.0007067
12/02/2014,0.0079346
14/02/2014,0.0005121
18/02/2014,-0.0024548
19/02/2014,0.0027661
20/02/2014,-0.0006561
21/02/2014,-0.0010495
25/02/2014,0.0011268
26/02/2014,-0.001266
27/02/2014,-0.0024066
03/03/2014,0.0026851
04/03/2014,-0.0027523
07/03/2014,-0.0016904
10/03/2014,-0.0010996
11/03/2014,0.0001783
13/03/2014,-0.0024199
14/03/2014,-0.0001888
17/03/2014,-0.0019512
18/03/2014,0.0018449
21/03/2014,-0.0019374
24/03/2014,-0.0007472
25/03/2014,0.0027766
26/03/2014,0.0069776
27/03/2014,0.0021071
28/03/2014,0.0032983
01/04/2014,-0.0011911
02/04/2014,0.0002012
03/04/2014,0.0011473
04/04/2014,0.0043058
07/04/2014,-0.000433
08/04/2014,-0.0015483
10/04/2014,0.0013332
11/04/2014,-0.0028548
14/04/2014,-0.002944
15/04/2014,-0.0006175
16/04/2014,-0.0009394
17/04/2014,0.0020356
22/04/2014,-0.0001965
23/04/2014,-0.0004983
24/04/2014,-0.0024095
25/04/2014,0.000639
28/04/2014,-0.0014758
29/04/2014,-0.0021906
30/04/2014,-0.0004387
02/05/2014,-0.0041313
05/05/2014,-0.0063291
06/05/2014,-0.0047817
07/05/2014,-0.0064692
08/05/2014,0.0011773
09/05/2014,0.0010872
12/05/2014,0.0008159
13/05/2014,0.0015216
14/05/2014,0.00173
15/05/2014,0.0014634
16/05/2014,0.0060396
19/05/2014,0.0011172
20/05/2014,-0.0005922
21/05/2014,0.0011067
22/05/2014,0.0019388
23/05/2014,0.0027957
27/05/2014,0.0021901
28/05/2014,0.0003514
29/05/2014,0.0031743
30/05/2014,-0.0022497
03/06/2014,0.0010252
04/06/2014,0.0007353
05/06/2014,0.004087
06/06/2014,0.0013633
09/06/2014,0.0004301
10/06/2014,-0.0010042
11/06/2014,-0.0019388
12/06/2014,-0.0031295
13/06/2014,-0.0024304
16/06/2014,-0.0006847
17/06/2014,-0.0014958
18/06/2014,-0.000464
19/06/2014,-0.0036011
20/06/2014,0.0029392
23/06/2014,0.0035133
24/06/2014,-0.0009737
25/06/2014,0.0005064
26/06/2014,0.000289
27/06/2014,0.000906
30/06/2014,0.0036616
02/07/2014,0.0003061
03/07/2014,-0.0010281
07/07/2014,-0.001935
08/07/2014,-0.003583
09/07/2014,-0.0037885
10/07/2014,0.0045919
14/07/2014,-0.0024166
15/07/2014,-0.0025868
16/07/2014,-0.0001984
17/07/2014,0.0032101
18/07/2014,0.0031328
21/07/2014,9.54E-06
22/07/2014,0.0010295
23/07/2014,0.0010567
24/07/2014,0.002398
31/07/2014,0.0043993
01/08/2014,-0.0022759
04/08/2014,0.0008101
05/08/2014,-0.000248
06/08/2014,0.0010238
07/08/2014,0.0025144
08/08/2014,-0.000114
11/08/2014,-0.0051742
12/08/2014,-0.0005965
14/08/2014,0.0014882
18/08/2014,0.0036907
19/08/2014,0.0015087
20/08/2014,0.0014353
21/08/2014,0.0062385
22/08/2014,-0.0042334
25/08/2014,-0.0011773
26/08/2014,-0.0013676
27/08/2014,-0.000185
28/08/2014,0.0006633
29/08/2014,-0.0017581
02/09/2014,0.0011139
03/09/2014,-0.0014458
04/09/2014,-0.0006218
05/09/2014,0.0037618
09/09/2014,0.0006762
10/09/2014,0.0001559
11/09/2014,0.0021853
12/09/2014,0.0023031
15/09/2014,-0.0003715
